# vim: ts=8

# Materias de la Facultad de Ingeniería
#
# 8/3/2006 - Germán Bassi <germanbassi@gmail.com>
# Actualización de las materias de las diversas carreras, en especial
# de la carrera de Ing. Electrónica; y correción de algunos errores.
#
# 22/3/2004 - Margarita Manterola <mamante@fi.uba.ar>
# Listado completo de materias para las carreras dictadas en la 
# Facultad de Ingeniería.
#
# 8/3/2004 - Diego Essaya <dessaya@fi.uba.ar>
# Sólo están incluidas las materias de Ing. Electrónica, Ing. en Informática
# y Análisis de Sistemas.

# ATENCION: El nombre de la materia debe estar separado del resto de los datos
# por TABS!
#
# Cod	Nombre						Créditos
# --------------------------------------------------------------

# Departamento de Matemática
61.03	Análisis Matemático II A			8
61.06	Probabilidad y Estadística A			4
61.07	Matemática Discreta				6
61.08	Algebra II A					8
61.09	Probabilidad y Estadística B			6
61.10	Análisis Matemático III A			6 #industrial 8cred; electro, info y electri 6cred
61.12	Análisis Matemático III B			6
61.13	Análisis Matemático III C			4
61.14	Matemática especial para Ingeniería Química	8
61.15	Matemática aplicada a la agrimensura		8
61.16	Matemática para Ingenieros			8
61.17	Teoría de Grafos				4
61.18	Ecuaciones Diferenciales Ordinarias		6
61.19	Análisis Funcional				6
61.21	Análisis Matricial y Métodos Numéricos		6

# Departamento de Física
62.01	Física I A				8
62.03	Física II A				8
62.04	Física II B				6
62.05	Física III				10
62.06	Mecánica I				6
62.07	Mecánica II				4
62.08	Electromagnetismo A			6
62.09	Electromagnetismo B			6
62.10	Física del Estado Sólido		4
62.11	Mecánica Racional			4
62.13	Física III C				6
62.15	Física III D				4
62.18	Física de Fluidos			4

# Departamento de Química
63.01	Química				6
63.02	Química I			8
63.03	Química II			8
63.04	Química III			10
63.05	Química Analítica		8
63.06	Química Física I		8
63.07	Química Física II		6
63.08	Análisis Instrumental		8
63.09	Química Orgánica Especial	8
63.10	Termodinámica Estadística	6
63.11	Química Aplicada A		6

# Departamento de Estabilidad
64.00	Tesis de Ingeniería Civil			24
64.01	Estabilidad I A					8
64.02	Estabilidad II A				8
64.03	Comportamiento de Materiales			8
64.04	Estática y Resistencia de Materiales A		8
64.05	Estática y Resistencia de Materiales B		6
64.07	Estabilidad III A				8
64.08	Mecánica de Suelos				6
64.10	Estabilidad IV					8
64.11	Estabilidad I B					6
64.12	Estabilidad II B				8
64.13	Estabilidad III B				6
64.14	Método de los Elementos Finitos			4
64.15	Estabilidad IV B				6
64.16	Análisis Experimental de Tensiones		2
64.17	Seguridad Estructural				2
64.18	Dinámica de las Estructuras I			4
64.19	Dinámica de las Estructuras II			3

# Departamento de Electrotecnia
65.00	Tesis de Ingeniería Electricista		18
65.01	Electrotecnia					8
65.03	Electrotecnia General A				8
65.04	Electrotecnia General B				6
65.05	Electrotecnia General C				4
65.06	Máquinas Eléctricas				6
65.09	Teoría de Circuitos				6
65.10	Teoría de Campos				6
65.11	Tecnología de Materiales I			6
65.12	Tecnología de Materiales II			4
65.13	Teoría de Máquinas Eléctricas I			8
65.14	Teoría de Máquinas Eléctricas II		6
65.15	Sistemas Eléctricos de Potencia			4
65.16	Trans. y Distrib. de la Energía Eléctrica	4
65.17	Centrales Eléctricas				4
65.21	Accionamientos					4
65.22	Apl. Industriales de la Energía Eléctrica	6
65.25	Construcciones Electromecánicas			6
65.28	Control de Procesos Industriales		4
65.29	Electrónica Industrial				6
65.30	Electrotecnia General D				6
65.33	Economía de la Energía Eléctrica		4
65.34	Luminotecnia					4
65.36	Medidas Eléctricas				6
65.37	Energías Renovables				4
65.38	Medidas Eléctricas Especiales			6
65.39	Metrología y Téc. de Calibración Eléctr.	4
65.40	Uso eficiente de la Energía Eléctrica		4
65.41	Estaciones Transform. y de Distribución		4
65.42	Sistemas de Protecciones Eléctricas		4
65.43	Ingeniería de las Instalaciones I		6
65.44	Sistemas de Energía				4
65.45	Regulación de Servicios Públicos		4
65.46	Energía Eólica, Hidráulica y Marina		4
65.47	Energía Solar, Geotérmica y Biomasa		4
65.99	Trabajo Profesional de Ing. Electricista	12

# Departamento de Electrónica
66.00	Tesis de Ingeniería Electrónica			24
66.01	Técnica Digital					6
66.02	Laboratorio					6
66.03	Electrónica General				4
66.04	Electrónica I					8
66.05	Electrónica II					6
66.06	Análisis de Circuitos				10
#66.07	Señales y Sistemas				8
66.08	Circuitos Electrónicos I			8
66.09	Laboratorio de Microcomputadoras		6
66.10	Circuitos Electrónicos II			8
66.12	Introducción a Proyectos			4
